Text,Disposition
he buries his shit in the back yard when he takes a shit,DNC
please don't call me back.,DNC
Don't call me.,DNC
I don't want to remove my number from your call list.,DNC
You need to put me on your no-call list.,DNC
I want to stop calling me.,DNC
Go fuck yourself!,DNC
"I think you have the wrong number,",DNC
You call the business fine.,DNC
please take me off the call list.,DNC
Could you please take me off your list,DNC
You have called a business.,DNC
please stop calling.,DNC
"Can you take this number off the call list,",DNC
Stop calling me. Fuck off.,DNC
Can you please take me off your call list,DNC
Please lose my number.,DNC
Please take this number off your list,DNC
Please take me after you call us.,DNC
Please don't call this number again,DNC
Could I get put on the do not call,DNC
Will you take me off to this?,DNC
I've had a lot of people call,DNC
You have a wrong number,DNC
You have called a business.,DNC
taking us off your call list,DNC
Don't call me again.,DNC
Why do you guys keep calling me?,DNC
Please don't call it.,DNC
I think you have the wrong number. I'm not.,DNC
take my name off of your calling list.,DNC
Would you please take me out for your ear?,DNC
I've only had over 100 calls.,DNC
Take me off your calling list,DNC
So did you get me on doing a call list? I also have to block.,DNC
I'm going to ask again that you remove me from the call list and do not call this number again,DNC
You can take this phone number off your list,DNC
Please don't call me back again,DNC
Take me off your call.,DNC
take us off your playlist.,DNC
don't bother me with that shit,DNC
Take my name off your list.,DNC
You said you wanted to lick my asshole.,DNC
Do not call this please,DNC
Please don't call here again,DNC
I am having sex with your mom.,DNC
Please take me off your call list.,DNC
Take my name off your list,DNC
please stop calling me,DNC
please don't call again,DNC
You can fuck you.,DNC
I wish everybody would stop calling me.,DNC
Don't call again.,DNC
Please quit calling.,DNC
And you go fuck yourself James?,DNC
Don't call anymore.,DNC
This is a business office and industrialization specialist.,DNC
"you're a phony and a fraud, so stop calling.",DNC
fucking bother fucking ass lackin' in the morning. This is shit.,DNC
Take my name and call me,DNC
You need to go fuck yourself.,DNC
quick calling here. ,DNC
I'm going to go fuck yourself.,DNC
You guys need to quit calling,DNC
"I want you to take me off my calling list, off your calling list.",DNC
I do not call it.,DNC
Please remove this number from your listing.,DNC
Stop calling me,DNC
"I'm good, motherfucker.",DNC
Is this a spam call,DNC
Please keep an eye on your list.,DNC
I wish you guys a quick calling.,DNC
Please take me off your list.,DNC
Please put me on a do not call list.,DNC
Y'all quit calling me,DNC
don't call me again.,DNC
Please take me over your calling list.,DNC
How many times are you going to call me?,DNC
Please set me off your list.,DNC
Remove my number from your lid.,DNC
Do not call here again.,DNC
This is the business center.,DNC
you call me 17 times this and I told you that I answer.,DNC
Stop calling my phone,DNC
Same as I was last time you called.,DNC
I'm a lot of fucking senior and go fuck yourself.,DNC
you need to take me off of your call list please.,DNC
I will contact if you do not quit calling this number or race this number.,DNC
I wish every one of you people would take me off your list and put a call in the every single day.,DNC
Don't be calling me dirty motherfuckers.,DNC
please quit calling me,DNC
So take me off your list.,DNC
it was known for damn good.,DNC
but y'all just keep calling and calling and calling.,DNC
I must tell what police quit calling. I don't need anything.,DNC
I wish you people a quick call on me please.,DNC
But take me off the list,DNC
please remove my number from your call list.,DNC
Will you let me fucking talk,DNC
put me on your national do not call list.,DNC
you keep calling me.,DNC
