,text
0,please quit calling me
1,Please take this number off the list
2,"You were supposed to take my name off the call list,"
3,take me off to this
4,fuck
5,please remove our number from your
6,I'm not interested in this
7,Can you take me off the list?
8,I'm getting you the wrong number.
9,I appreciate if you would take me off your call list
10,this is a four-time job trying to scam people in. I mean...
11,I have no interest in a final expense.
12,Take me off your calling list
13,so you can take me off your list.
14,I'd like to be removed from
15,I don't want to take care of that.
16,"No, no, no, no. Don't call anymore. Don't call me."
17,Eat a fat bag of dicks and go suck a fucking
18,Motherfucker. Is your mama 40?
19,You're a goddamn company.
20,I would appreciate you guys not calling me anymore.
21,"If you could remove my name, it'd save us both some time."
22,Please take this number off your list
23,Please take me off your calling list.
24,I don't need no money.
25,"You guys called me on Friday, and I asked them then to take me off your calling list."
26,I am not interested.
27,I don't know why you guys keep calling me.
28,I don't need a
29,don't call me
30,Will you let me fucking talk
31,"I'm not interested, ma'am"
32,Thank you so much for connecting with the Unlule Insurance Coats on our recorded line.
33,"We don't need anything,"
34,You're a piece of crap.
35,. No. No. No.
36,I'm going to turn you in for a vast mess.
37,stop calling my phone number.
38,this is a business line.
39,I don't need to
40,you need to not call me anymore.
41,"No, it isn't."
42,Would you stop calling me
43,I don't think we've got anything to talk about.
44,"No, I don't need it. I don't need it."
45,I don't need none
46,I'm going to talk to you and quit calling.
47,take my name off of your calling list.
48,"Could you remove me off your list, please?"
49,this is a business phone
50,Not worth a shit. I just buried my wife and if you fucking people don't quit calling
51,"No, no, thank you."
52,I'm still on the no call list
53,you're talking to the wrong person
54,I don't need a third one.
55,Can you delete this number?
56,Please don't call it.
57,"Becky, no more calls please."
58,I don't need any of them
59,I'm trying to get tired of 100 people calling me every day.
60,"Well, I'm not really ready for that now. So I'm going to hang up. Thank you."
61,I would like to be taking off your call list.
62,I'm not interested in the program.
63,So would you take me off your list
64,quit calling this number as whole.
65,. I don't need this
66,"No, I don't think you have money to do that,"
67,I wish you guys a quick calling.
68,keep getting calls from you all.
69,I would like for you not to call me again.
70,I'm not interested in life insurance.
71,wouldn't be interested in that anyway.
72,Why do you guys call me every single day
73,Would you please take me off your call
74,I said fuck you.
75,I think you have the wrong number. I'm not.
76, I want you to get my number off this column list. 
77,I need you to take me off the list.
78,I don't need insurance.
79,I don't need any more.
80,your not supposed to call me by me Senior Benefits.
81,If you could take me off your list
82,I appreciate not getting the calls.
83,And I would also guarantee we go through this like three times a week. And I have repeatedly asked to be moved from your
84,Please take me after you call us.
85,Please don't call me.
86,"Can you take this number off the call list,"
87,take my number out this
88,"can you take this number off your call-up, please"
89,"No, not right now."
90,I don't need no insurance.
91,Do you like sucking dick?
92,You get the wrong number.
93,You need to go fuck yourself.
94,Don't call us.
95,Could you take my number off
96,No need.
97,take us off your list
98,I think you've got a wrong number.
99,Take me off your call list.
100,"No, I'm not interested"
101,. I don't need any more
102,I'm totally uninterested.
103,. I wish you'd take me off your list.
104,fuck off.
105,You've stolen somebody's telephone numbe
106,I'm really not interested right now
107,I got everything set up
108,Please take my number off your call list.
109,Please stop calling me
110,please put me on the do not call list because they call me 1200 times a day?
111,you people have called me like 20 times a day. I'm getting tired of it.
112,Don't call me again
113,I want to stop calling me.
114,Not worth a damn. I'm tired of y'all calling.
115,Stop calling.
116,you got the wrong number motherfucker.
117,m on the Do Not Call list.
118,", I'm not interested"
119,I don't give out personal information.
120,I've asked you guys not to call me anymore. So could you not call me anymore?
121,I don't need no burial law insurance.
122,"Go fuck yourself, yes."
123,"you just call me yesterday,"
124,You're not going to get anything out of me. I'm not holding up. Goodbye.
125,How about y'all quit fucking calling me?
126,Do not call this.
127,Take me off your
128,Take the FU list.
129,Leave me alone.
130,just take me off that
131, Not interested. 
132,I don't understand why they keep calling me
133,What kind of a damn phone?
134,not interesting.
135,You need to put me on your no-call list.
136,Take me off the coldes
137,put me on your do not call us?
138,I need to move my name from your list.
139,Stop calling motherfucker.
140,"I'm a fucker, it has called me about 20 minutes ago."
141,can you take my number out of
