,text
0,Don't need any Becky
1,I'm not interested
2,you got the wrong number motherfucker.
3,"No, I don't want"
4,"You keep calling a business. You just call me about three, four times a day."
5,Quit calling me.
6,I don't need anything.
7,"No, thank you"
8,I don't need any.
9,Please don't call this
10,you got to stop calling me
11,stop calling my phone number.
12,"No, I'm not."
13,It's fucking morning.
14,I'm not interested.
15,take my number out this
16,I'm not interested
17,Put me on your no call list.
18,Is this a spam call
19,Please don't call this number again
20,I'm not interested in this.
21,"can you not call me anymore please? Okay, can you not call me anymore please?"
22,Stop calling me.
23,"No, that's okay"
24,you can just fuck off
25,"I'm not interested,"
26,you don't have to do all that crap.
27,"Never mind, no"
28,I already got this shit done.
29,I don't need nothing like that
30,And I feel like y'all harassing me
31,I'm not interested.
32,This is a business line. And I appreciate if you guys stop calling it.
33,I wouldn't be interested in it.
34,Stop fucking calling me.
35,Doesn't need to be called by anything. It's a business. Please don't call us number again.
36,I want you to take me off your list.
37,Take me off the list
38,I'm not interested.
39,I don't need any insurance mail.
40,I'm not interested in life insurance
41,Take me off your list
42,"What do you want you Indian motherfucker, stop calling me"
43,Thanks for fucking talking about me.
44,I don't need it
45,I've asked you repeatedly not to call me anymore.
46,Stop calling here.
47,I'm not even looking for you.
48,Stop calling me
49,"I'm a fucker, it has called me about 20 minutes ago."
50,I'm not interested.
51,Please lose my number.
52,Take me off your call list.
53,you guys keep calling me
54,I'm not answering that.
55,please take me off your list.
56,you keep calling me.
57,I don't need anything.
58,I'm not interested.
59,I'm not interested in.
60,I don't think I'm interested
61,y'all do not call.
62,I'm not interested.
63,this is a hospital and we need this number removed from your
64,I don't know.
65,Don't call me anymore.
66,I don't think I'd be interested.
67,I'm not interested.
68,You have called a business.
69,"Take me off your list, please"
70,Shut up.
71,"Can you take this number off the call list,"
72,", I'm not interested."
73,I don't need anything.
74,I don't need your insurance.
75,"Well, I'm not really ready for that now. So I'm going to hang up. Thank you."
76,Don't want to talk to you.
77,I'm not interested in it.
78,I know all day shit
79,No.
80,I'm not interested.
81,I'm not interested in that.
82,I don't need life insurance.
83,Do not call this.
84,I'm not.
85,this is a business phone
86,None of your fucking business.
87,"if you're trying to tell me a bunch of junk anymore, don't call it more."
88,I don't want to
89,Not worth a damn. I'm tired of y'all calling.
90,I'm sick and tired of you people calling me every frickin' day.
91,"No, thank you."
92,Please take me off your list.
93,Is illegal?
94,I'm not interested.
95,I am not interested in a life insurance.
96,Please don't call back here again.
97,I'm not interested.
98,why don't you just tell me what you want and then take my name off your call list
99,you keep calling me.
100,I don't want to talk about burial right now
101,Why are you calling a business
102,I ain't a fucking senior.
103,I'm not interested.
104,take me off to this
105,take us off your playlist.
106,What the fuck
107,Don't need it. Don't need it.
108,you might have the wrong number
109,this is a business
110,Take me off your list.
111,"Fuck you, your motherfucker"
112,Put me on your do not call it.
113,Please don't call here again
114,I don't want to do that.
115,I'm not interested in that.
116,You can take this phone number off your list
117,I don't need anything.
118,Can you please take me off the list?
119,I'm not interested in it.
120,Stop calling me
121,You're calling me several times because please stop calling me.
122,Don't call me again.
123,Leave me alone.
124,Take me off your list
125,I'm not interested.
126,I'm not interested in that.
127,This is a business.
128,I don't know why you guys keep calling me.
129,"I'm kind of not interested,"
130,Don't call me again.
131,"I'm fucking party, bitch."
132,I'm not interested.
133,why y'all keep calling
134,this is a four-time job trying to scam people in. I mean...
135,"I mean, why do you all even call me"
136,Could you take me off to the calling list
137,I am not interested.
138,You said you wanted to lick my asshole.
139,"No, I'm really not interested, ma'am."
140,This is a scam call.
141,"No, no, no, no, no."
142,Can you take me off your list
143,You can take me off your list.
144,You need to put me on your no-call list.
145,so you can take me off your list.
146,I don't need any lab insurance
147,I'm not ready
148,I won't be needing any of this time.
149,I'm not interested in.
150,"No, we're not enticing this."
151,I'm not interested
152,I'm not only no damn benefit.
153,I have asked you guys several times to stop calling me.
154,"I'm not interested,"
155,I don't need any.
156,I do not need access.
157,I don't want to take care of that.
158,I'm not interested.
159,I'm not interested.
160,Can you delete this number?
161,"Ma'am, what the hell is this gonna keep on bothering me? Please don't bother me on my word."
162,And I would like if you please don't call us again
163,"I don't need any help. We have our plot, we've got everything"
164,you don't call me one time today.
165,Please do not call here again.
166,You call the business fine.
167,"Why don't you just hang up, you fucking idiot."
168,I just think you called the wrong number
169,I hope I care about myself.
170,I don't need to get it
171,I'm not interested though.
172,"No, ma'am,"
173,I'm really not interested in
174,Can you please take me off your call list
175,I don't need
176,please don't bother me again.
177,I'm not interested.
178,Put me on a do not call list.
179,No. Thank you.
180,"No, no, I don't need"
181,"I don't need any. So, goodbye"
182,o could you please take us off your list?
183,please stop wasn't calling me.
184,Please take me off your call list.
185,m on the Do Not Call list.
186,don't call back
187,"Take me off the call,"
188,I'm not interested.
189,I'm doing fancy quick calling.
190,Why do you keep calling me?
191,take me off your list.
192,"I'm not interested, ma'am"
193,"don't need anything,"
194,please take me off the call list.
195,I don't need none of that stuff.
196,we don't need any life insurance
197,"don't call me anymore,"
198,I don't need any of that.
199,I do not want insurance.
200,I would like to be placed on the do not call list
201,"can you take this number off your call-up, please"
202,None of you are fucking business.
203,would you quit calling me
204,I don't need to
205,"I don't give a shit, don't go to hell."
206,I don't need this.
207,I'm going to talk to you about your representative.
208,I'll take the action off you.
209,I've told you to freak easily that to call me.
210,I don't need it.
211,why don't you just fuck off?
212,"No, I'm not"
213,Could you take my name off your list?
214,"I'm not interested,"
215,Fuck you
216,I can't participate with anything
217,I am not interested
218,I wish every one of you people would take me off your list and put a call in the every single day.
219,I don't need it.
220,I asked you not to call me again.
221,I am not interested.
222,Every fucking day.
223,Will you stop calling this number?
224,Stop calling me
225,quit calling me
226,Please remove this number from your listing.
227,Can you remove this number from your calling list?
228,don't call me anymore.
229,Take my name off your list.
230,I don't need anything.
231,Why do you keep on calling me?
232,"No, thank you."
233,I'm not even ready.
234,we wouldn't be interested.
235,None of your fucking business.
236,I don't need any other.
237,"I'm not going to tell you,"
238,I would like for you not to call me again.
239,I'm not interested.
240,What kind of a damn phone?
241,I'm not fucking calling you.
242,I don't need anything right now.
243,Please stop calling.
244,Not interesting
245,you people have called me like 20 times a day. I'm getting tired of it.
246,I told them to take my name off the list
247,I've only had over 100 calls.
248,please stop calling me
249,"No, I'm not interested"
250,I'm not interested.
251,This is harassment.
252,I'm not needing nothing.
253,we're not interested
254,I'm still on the no call list
255,Fuck you
256,I'm not interested in benefits.
257,"No, no, no"
258,Can you take me off your call?
259,why you keep calling me.
260,Put me on no call list.
261,Can I go on a do not a call list?
262,I don't need to do that.
263,"Could you remove me off your list, please?"
264,No. No.
265,I'm not interested.
266,no life insurance.
267,I'm not interested.
268,take me off your list.
269,I'm not interested in all of you
270,"y'all just keep calling me, and I'm tired of it."
271,So you can take me off your little list.
272,Don't call me no more.
273,I'm not interested in anything
274,No. Thank you.
275,"You guys have been calling me consistently,"
276,You guys need to quit calling
277,"I'm not interested,"
278,. Fuck all you
279,I'm not interested
280,"No, I don't think so."
281,"No, I'm not ready"
282,I'm not ever going to die. You know... I'm not going to die.
283,I wish everybody would stop calling me.
284,Remove my number from your lid.
285,I don't need that.
286,I don't need your benefits.
287,Nope.
288,not interesting
289,"I'm not interested,"
290,I do not need that.
291,I don't need no insurance.
292,"No, no, no, no, no, no."
293,"No, I don't think you have money to do that,"
294,I've had a lot of people call
295,I don't need your help.
296,Pick my name off the list please.
297,please stop calling.
298,I don't need it
299,It's just a waste of time
300,Stop calling me
301,"Go fuck yourself, yes."
302,that already called me today
303,Please take me off this list.
304,we are a business. So if you could take us off the
305,we're not interested.
306,You want to see guys be called every day? You've already called once today.
307,you're talking to the wrong person
308,You are about the third time someone has called your company. Please take our name off your list.
309,put me on my do not call list.
310,Stop calling me
311,Why don't you suck a dick?
312,Do me a favor and remove my fucking number.
313,I'm not interested.
314,I don't need any.
315,I'm not really interested in that.
316,please take me off the list.
